@RELATION ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-dir.shuffled-as.sat03-1.cnf,1,cadical_hack_gb,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-dir.shuffled-as.sat03-1.cnf,1,cadical_Less_UP,4749.98,ok
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-dir.shuffled-as.sat03-1.cnf,1,cadical_PriPro,4407.4,ok
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-dir.shuffled-as.sat03-1.cnf,1,cadical_rp,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-dir.shuffled-as.sat03-1.cnf,1,cadical_sc2021,282.796,ok
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-dir.shuffled-as.sat03-1.cnf,1,cadical_SCAVEL01,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-dir.shuffled-as.sat03-1.cnf,1,cleanMaple,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-dir.shuffled-as.sat03-1.cnf,1,hCaD,382.046,ok
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-dir.shuffled-as.sat03-1.cnf,1,hKis,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-dir.shuffled-as.sat03-1.cnf,1,kissat_bonus,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-dir.shuffled-as.sat03-1.cnf,1,kissat_cf,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-dir.shuffled-as.sat03-1.cnf,1,kissat_gb,2473.08,ok
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-dir.shuffled-as.sat03-1.cnf,1,kissat_MAB,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-dir.shuffled-as.sat03-1.cnf,1,kissat_sat_crvr_gb,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-dir.shuffled-as.sat03-1.cnf,1,kissat_sc2021,1305.62,ok
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-dir.shuffled-as.sat03-1.cnf,1,kissat_sc2021_sat,1440.97,ok
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-dir.shuffled-as.sat03-1.cnf,1,kissat_sc2021_sweep,1947.15,ok
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-dir.shuffled-as.sat03-1.cnf,1,lstech_maple,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-dir.shuffled-as.sat03-1.cnf,1,Maple_MBDR_BJL6_Tier2,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-dir.shuffled-as.sat03-1.cnf,1,Maple_simp21,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-dir.shuffled-as.sat03-1.cnf,1,MapleSSV,2236.66,ok
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-dir.shuffled-as.sat03-1.cnf,1,opsat_R21,1981.44,ok
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-dir.shuffled-as.sat03-1.cnf,1,ParaFORST,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-dir.shuffled-as.sat03-1.cnf,1,ParaFORST_NoMDM,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-dir.shuffled-as.sat03-1.cnf,1,Relaxed_LCFTP,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-dir.shuffled-as.sat03-1.cnf,1,Relaxed_LCMDCBDL_SCAVEL01,4984.47,ok
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-dir.shuffled-as.sat03-1.cnf,1,slime,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-log.shuffled-as.sat03-2.cnf,1,cadical_hack_gb,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-log.shuffled-as.sat03-2.cnf,1,cadical_Less_UP,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-log.shuffled-as.sat03-2.cnf,1,cadical_PriPro,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-log.shuffled-as.sat03-2.cnf,1,cadical_rp,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-log.shuffled-as.sat03-2.cnf,1,cadical_sc2021,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-log.shuffled-as.sat03-2.cnf,1,cadical_SCAVEL01,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-log.shuffled-as.sat03-2.cnf,1,cleanMaple,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-log.shuffled-as.sat03-2.cnf,1,hCaD,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-log.shuffled-as.sat03-2.cnf,1,hKis,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-log.shuffled-as.sat03-2.cnf,1,kissat_bonus,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-log.shuffled-as.sat03-2.cnf,1,kissat_cf,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-log.shuffled-as.sat03-2.cnf,1,kissat_gb,10000,timeout
datas/sc2002/handmade/anton/SAT/SGI_30_60_28_30_1-log.shuffled-as.sat03-2.cnf,1,kissat_MAB,10000,timeout
