@RELATION FEATURES

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE vars-clauses-ratio NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-mean NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-min NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-max NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-entropy NUMERIC
@ATTRIBUTE VCG-CLAUSE-mean NUMERIC
@ATTRIBUTE VCG-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE VCG-CLAUSE-min NUMERIC
@ATTRIBUTE VCG-CLAUSE-max NUMERIC
@ATTRIBUTE VCG-CLAUSE-entropy NUMERIC
@ATTRIBUTE UNARY NUMERIC
@ATTRIBUTE BINARY+ NUMERIC
@ATTRIBUTE TRINARY+ NUMERIC
@ATTRIBUTE VCG-VAR-mean NUMERIC
@ATTRIBUTE VCG-VAR-coeff-variation NUMERIC
@ATTRIBUTE VCG-VAR-min NUMERIC
@ATTRIBUTE VCG-VAR-max NUMERIC
@ATTRIBUTE VCG-VAR-entropy NUMERIC
@ATTRIBUTE POSNEG-RATIO-VAR-mean NUMERIC
@ATTRIBUTE POSNEG-RATIO-VAR-stdev NUMERIC
@ATTRIBUTE POSNEG-RATIO-VAR-min NUMERIC
@ATTRIBUTE POSNEG-RATIO-VAR-max NUMERIC
@ATTRIBUTE POSNEG-RATIO-VAR-entropy NUMERIC
@ATTRIBUTE HORNY-VAR-mean NUMERIC
@ATTRIBUTE HORNY-VAR-coeff-variation NUMERIC
@ATTRIBUTE HORNY-VAR-min NUMERIC
@ATTRIBUTE HORNY-VAR-max NUMERIC
@ATTRIBUTE HORNY-VAR-entropy NUMERIC
@ATTRIBUTE horn-clauses-fraction NUMERIC
@ATTRIBUTE VG-mean NUMERIC
@ATTRIBUTE VG-coeff-variation NUMERIC
@ATTRIBUTE VG-min NUMERIC
@ATTRIBUTE VG-max NUMERIC
@ATTRIBUTE CG-mean NUMERIC
@ATTRIBUTE CG-coeff-variation NUMERIC
@ATTRIBUTE CG-min NUMERIC
@ATTRIBUTE CG-max NUMERIC
@ATTRIBUTE CG-entropy NUMERIC
@ATTRIBUTE cluster-coeff-mean NUMERIC
@ATTRIBUTE cluster-coeff-coeff-variation NUMERIC
@ATTRIBUTE cluster-coeff-min NUMERIC
@ATTRIBUTE cluster-coeff-max NUMERIC
@ATTRIBUTE cluster-coeff-entropy NUMERIC
@ATTRIBUTE DIAMETER-mean NUMERIC
@ATTRIBUTE DIAMETER-coeff-variation NUMERIC
@ATTRIBUTE DIAMETER-min NUMERIC
@ATTRIBUTE DIAMETER-max NUMERIC
@ATTRIBUTE DIAMETER-entropy NUMERIC
@ATTRIBUTE cl-num-mean NUMERIC
@ATTRIBUTE cl-num-coeff-variation NUMERIC
@ATTRIBUTE cl-num-min NUMERIC
@ATTRIBUTE cl-num-max NUMERIC
@ATTRIBUTE cl-num-q90 NUMERIC
@ATTRIBUTE cl-num-q10 NUMERIC
@ATTRIBUTE cl-num-q75 NUMERIC
@ATTRIBUTE cl-num-q25 NUMERIC
@ATTRIBUTE cl-num-q50 NUMERIC
@ATTRIBUTE cl-size-mean NUMERIC
@ATTRIBUTE cl-size-coeff-variation NUMERIC
@ATTRIBUTE cl-size-min NUMERIC
@ATTRIBUTE cl-size-max NUMERIC
@ATTRIBUTE cl-size-q90 NUMERIC
@ATTRIBUTE cl-size-q10 NUMERIC
@ATTRIBUTE cl-size-q75 NUMERIC
@ATTRIBUTE cl-size-q25 NUMERIC
@ATTRIBUTE cl-size-q50 NUMERIC
@ATTRIBUTE SP-bias-mean NUMERIC
@ATTRIBUTE SP-bias-coeff-variation NUMERIC
@ATTRIBUTE SP-bias-min NUMERIC
@ATTRIBUTE SP-bias-max NUMERIC
@ATTRIBUTE SP-bias-q90 NUMERIC
@ATTRIBUTE SP-bias-q10 NUMERIC
@ATTRIBUTE SP-bias-q75 NUMERIC
@ATTRIBUTE SP-bias-q25 NUMERIC
@ATTRIBUTE SP-bias-q50 NUMERIC
@ATTRIBUTE SP-unconstraint-mean NUMERIC
@ATTRIBUTE SP-unconstraint-coeff-variation NUMERIC
@ATTRIBUTE SP-unconstraint-min NUMERIC
@ATTRIBUTE SP-unconstraint-max NUMERIC
@ATTRIBUTE SP-unconstraint-q90 NUMERIC
@ATTRIBUTE SP-unconstraint-q10 NUMERIC
@ATTRIBUTE SP-unconstraint-q75 NUMERIC
@ATTRIBUTE SP-unconstraint-q25 NUMERIC
@ATTRIBUTE SP-unconstraint-q50 NUMERIC
@ATTRIBUTE vars-reduced-depth-1 NUMERIC
@ATTRIBUTE vars-reduced-depth-4 NUMERIC
@ATTRIBUTE vars-reduced-depth-16 NUMERIC
@ATTRIBUTE vars-reduced-depth-64 NUMERIC
@ATTRIBUTE vars-reduced-depth-256 NUMERIC
@ATTRIBUTE lobjois-mean-depth-over-vars NUMERIC
@ATTRIBUTE lobjois-log-num-nodes-over-vars NUMERIC

@DATA
datas/sc2002/industrial/goldberg/hard_eq_check/C880mul.miter.shuffled-as.sat03-348.cnf,1,1612,9373,1555,9210,0.036655949,0.017698154,0.168838219,0.465519034,0.735729412,0,1,1.507824264,0.002200879,0.554727752,0.001286174,0.035369775,1.063621592,0,0.225624321,0.69815418,0.002200879,0.878326528,0.000977199,0.017155266,2.645451766,0.161017835,0.116682632,0,0.666666667,2.470434865,0.000868342,0.863886388,0.000108578,0.006623236,2.608058275,0.4669924,0.001401804,0.836962423,0.000651466,0.007057546,0.005553799,0.765525726,0.000868621,0.024212812,4.602726897,0.329924458,0.239941435,0.109677419,0.654411765,3.441534942,10.16473617,0.094168809,8,12,1.355454857,894.137931,0.338681293,453,1493,1455,481,1134,744,823,21.16478222,0.470685427,6.133333333,40.8862069,33.21052632,6.870103093,29.10180844,12.52054795,20.47191011,0.563665606,0.386811239,0.000293204,0.923180201,0.786891758,0.22574559,0.724531132,0.392987519,0.641071872,0.050372205,0.971978447,0,0.302833066,0.109495303,0.004425881,0.055581876,0.023127967,0.041124185,0.000643087,0.007717042,0.028938907,0.099678457,0.099678457,0.122456487,0.4209859
datas/sc2002/industrial/goldberg/hard_eq_check/alu4mul.miter.shuffled-as.sat03-344.cnf,1,4736,30465,4711,30394,0.005306729,0.002335987,0.154997697,0.46557423,0.747231399,0,1,1.503528552,0.000719092,0.346154229,0.000424538,0.004033114,1.059538543,0,0.230374416,0.692834112,0.000719092,3.611407326,0.000296111,0.108113443,1.938079786,0.154584042,0.07108689,0,0.666666667,2.038277344,0.000275571,3.233837656,3.29E-05,0.037375798,2.275245759,0.454925314,0.000394005,2.248390881,0.000197407,0.03661907,-1,0,-1,0,-512,-1,0,-1,0,0,8.137579618,0.109311325,6,11,1.258189783,723.3846154,0.243853859,454,1038,991,520,861,579,668,26.9500047,0.385774759,16.08013937,51.56454721,45.7260479,16.7585825,30.32996973,20.55961539,24.4973822,0.608585373,0.319103242,0,0.884458476,0.79151022,0.33740349,0.738278892,0.48265447,0.691299873,0.048897721,0.620549446,0,0.30036788,0.096648926,0.016210378,0.06082674,0.030122054,0.044228498,0.001485884,0.037996179,0.180004245,0.187645935,0.187645935,0.177943999,0.75123431
datas/sc2002/industrial/goldberg/hard_eq_check/c3540mul.miter.shuffled-as.sat03-345.cnf,1,5248,33199,5201,33062,0.009036724,0.00414373,0.157310508,0.45953946,0.74571839,0,1,1.504850018,0.000652425,0.391824116,0.000384541,0.009036724,1.058479543,0,0.229568689,0.693666445,0.000652425,1.504280264,0.000302462,0.024257456,2.384129162,0.151003596,0.082974315,0,0.666666667,2.309934507,0.000256944,1.450786331,3.02E-05,0.009346077,2.526031047,0.462766923,0.000372189,1.061514404,0.000181477,0.007833767,-1,0,-1,0,-512,-1,0,-1,0,0,10.55346154,0.077817953,8,13,1.217964709,499.92,0.135107865,396,623,602,416,567,450,487,11.3284097,0.445318294,4.919168591,20.51045296,18.86544851,5.819477435,15.75460123,6.445606695,9.870201097,0.575887994,0.348392738,0,0.943279636,0.778474114,0.288256954,0.73119811,0.444635064,0.636855044,0.041290114,0.780682692,0,0.300129378,0.085370014,0.004992048,0.051687138,0.022378567,0.036575046,0,0.000576812,0.015766199,0.036723707,0.036723707,0.060726359,0.325551055
datas/sc2002/industrial/goldberg/hard_eq_check/c6288mul.miter.shuffled-as.sat03-346.cnf,1,9540,61421,9533,61414,0.000734291,0.000113981,0.155225193,0.463224746,0.742492174,0,1,1.505830713,0.000355785,0.39951074,0.000209798,0.007028218,1.059125051,0,0.22978474,0.693229557,0.000355785,0.905243651,0.000162829,0.005210538,2.500494812,0.114873632,0.083087109,0,0.666666667,2.615662008,0.00013885,0.835491668,1.63E-05,0.002198196,2.458350955,0.461783958,0.000187729,0.75140741,9.77E-05,0.001579444,-1,0,-1,0,-512,-1,0,-1,0,0,9.32719954,0.081029711,7,10,1.042150202,489.7391304,0.265663304,36,651,606,384,584,456,523,23.06797389,1.926685365,5.276315789,229.5277778,20.22627737,7.037225042,16.64347826,9.064144737,13.63479924,0.48820103,0.322834106,1.00E-09,0.954541661,0.701381232,0.269382659,0.585384456,0.369161603,0.486672653,0.02426284,1.057025417,0,0.303716259,0.047210833,0.005644283,0.034302651,0.007229043,0.019328788,0.000419595,0.001153886,0.002202874,0.002202874,0.002202874,0.009501269,0.086311152
datas/sc2002/industrial/goldberg/hard_eq_check/c7552mul.miter.shuffled-as.sat03-347.cnf,1,11282,69529,11044,68820,0.021550163,0.010302238,0.160476606,0.462101008,0.744498512,0,1,1.504149829,0.000307507,0.509756546,0.000181094,0.011227816,1.058017799,0,0.229177565,0.694333043,0.000307507,2.658865133,0.000130776,0.066841035,2.480750224,0.149338281,0.087395666,0,0.666666667,2.335619247,0.000120533,2.484733564,1.45E-05,0.025399593,2.535727525,0.464065679,0.00018348,1.726790982,8.72E-05,0.018584714,-1,0,-1,0,-512,-1,0,-1,0,0,12.50923958,0.086479455,10,15,1.458036933,201.7714286,0.300276249,44,337,275,136,241,165,203,5.331135364,0.26520533,3.386363636,8.538793103,8.34439834,3.741818182,6.066176471,4.4,5.082987552,0.549966494,0.377490207,0,0.96236021,0.764704112,0.221557664,0.704537661,0.422176297,0.609257681,0.04237513,0.875464798,0,0.303537761,0.07579142,0.003971114,0.052122442,0.021434761,0.037309055,9.05E-05,0.000724375,0.013310395,0.031057588,0.03449837,0.023611305,0.131286661
datas/sc2002/industrial/goldberg/hard_eq_check/dalumul.miter.shuffled-as.sat03-349.cnf,1,9426,59991,9359,59806,0.007158884,0.003093335,0.156489315,0.462310678,0.741659005,0,1,1.507008119,0.000362093,0.35494224,0.000213698,0.003739716,1.061626789,0,0.230244457,0.692672976,0.000362093,4.427351091,0.000167207,0.062602414,2.143381038,0.151956931,0.072031565,0,0.666666667,2.221283467,0.000142075,4.336269886,1.67E-05,0.026669565,2.307458226,0.46336488,0.000197958,2.829889825,0.000100324,0.023592951,-1,0,-1,0,-512,-1,0,-1,0,0,9.953685675,0.088311291,8,12,1.258871932,349.7,0.221599342,210,559,411,230,403,321,368,11.23900584,0.364712447,5.448028674,19.30029155,17.83157895,5.808695652,14.70144928,7.62962963,11.81401617,0.59796715,0.296487524,0,0.963510365,0.78145782,0.351880445,0.732648377,0.500926164,0.645329493,0.043806005,0.632770664,0,0.303076306,0.081930924,0.014171167,0.05432726,0.027733774,0.039347588,0.001389037,0.001816433,0.0108986,0.090180575,0.090180575,0.106131906,0.596410039
datas/sc2002/industrial/goldberg/hard_eq_check/desmul.miter.shuffled-as.sat03-350.cnf,1,28902,179895,27925,176976,0.034986571,0.016493762,0.157789757,0.46189034,0.74581906,0,1,1.501712845,0.00012185,1.023863637,7.16E-05,0.017654432,1.055979108,0,0.228211735,0.695642347,0.00012185,5.008029351,5.09E-05,0.040570473,1.896635772,0.170917014,0.090658119,0,0.666666667,2.004938382,4.69E-05,4.538002894,5.65E-06,0.014708209,2.181866828,0.459446479,0.000113584,3.689654568,3.39E-05,0.010357337,-1,0,-1,0,-512,-1,0,-1,0,0,10.3583815,0.137770829,8,13,1.648204168,131.05,0.576206814,25,281,268,47,203,74,122,6.922698468,0.942240912,2.834951456,34.25675676,12.01067616,3.872340426,6.368421053,4.762295082,5.515337423,0.642810832,0.272947949,0.000230113,0.967118619,0.799091703,0.362339622,0.759390684,0.576339166,0.718354031,0.05070647,0.74779129,0,0.304209704,0.098237916,0.018514291,0.058068487,0.029193,0.04180196,0.000107431,0.000429722,0.000966876,0.084619517,0.123043868,0.059663589,0.254021443
datas/sc2002/industrial/goldberg/hard_eq_check/frg1mul.miter.shuffled-as.sat03-351.cnf,1,3230,20575,3221,20567,0.002794163,0.000388973,0.156610104,0.456834303,0.745156972,0,1,1.508896019,0.001051666,0.33979868,0.000620925,0.002794163,1.065229532,0,0.230466281,0.691544708,0.001051666,3.340035049,0.000534837,0.088491272,1.439199956,0.161036319,0.060421872,0,0.411764706,1.7757849,0.000415299,3.019157314,4.86E-05,0.03048573,2.002980601,0.465551612,0.000548438,1.856349924,0.000340351,0.022511791,-1,0,-1,0,-512,-1,0,-1,0,0,9.81552795,0.066415383,8,11,0.981889289,640.3333333,0.244070012,371,993,899,495,718,534,641,19.88798835,0.385303961,9.813253012,38.17623364,27.85074627,10.8164794,25.96769231,13.92121212,19.93045113,0.647659836,0.252625683,0,0.888337694,0.801348867,0.364228545,0.743581693,0.610439526,0.70856118,0.055171215,0.522428683,0,0.307584157,0.100282118,0.026116703,0.065867543,0.03498307,0.047996154,0,0.000620925,0.01676498,0.043775225,0.043775225,0.197980713,0.834119729
datas/sc2002/industrial/goldberg/hard_eq_check/frg2mul.miter.shuffled-as.sat03-352.cnf,1,10316,62943,9857,61592,0.046565892,0.021934667,0.160037018,0.464814583,0.741707394,0,1,1.501003631,0.000346137,0.922851804,0.000202901,0.026478645,1.05532521,0,0.226912586,0.69729835,0.000346137,3.489631485,0.000146123,0.041369009,2.051877997,0.17498673,0.102734031,0,0.666666667,2.092053676,0.000133244,3.150431162,1.62E-05,0.014969477,2.28472916,0.456926224,0.00029832,2.60075211,9.74E-05,0.014336277,-1,0,-1,0,-512,-1,0,-1,0,0,7.833218849,0.095758826,6,10,1.126975983,197.8529412,0.292333756,76,395,289,126,218,169,184,7.982919274,0.312108266,4.184210526,14.06329114,11.93142857,5.278350515,9.363095238,6.209944751,7.576086957,0.633328956,0.29794696,0,0.95171957,0.805793953,0.351240271,0.755869445,0.556728853,0.707329874,0.054426808,0.76802656,0,0.302948986,0.104812568,0.019330823,0.062694611,0.030748308,0.044602416,0.000608704,0.001217409,0.03134828,0.139393325,0.139393325,0.094587419,0.406881334
datas/sc2002/industrial/goldberg/hard_eq_check/i10mul.miter.shuffled-as.sat03-353.cnf,1,12998,77941,12375,76080,0.050343434,0.024461094,0.162657729,0.464737861,0.738233368,0,1,1.497564036,0.000276434,1.323990018,0.000161616,0.034828283,1.05219961,0,0.225604627,0.69915878,0.000276434,1.770498287,0.000118297,0.009542587,2.4111455,0.171659121,0.115474579,0,0.666666667,2.277520122,0.000106664,1.660571968,1.31E-05,0.003575184,2.4496547,0.459332282,0.000345463,2.986250651,7.89E-05,0.005704522,-1,0,-1,0,-512,-1,0,-1,0,0,11.08943768,0.097625324,8,14,1.431835905,217.8717949,0.483556935,58,712,298,111,237,175,210,6.683701365,0.281509949,4.393617021,12.30379747,10.16170213,4.821138211,7.824489796,5.460526316,5.919831224,0.597176058,0.348753605,0,0.928425763,0.792752847,0.291077613,0.743391283,0.499311195,0.670082073,0.052913985,0.869618007,0,0.304309246,0.100277961,0.012691207,0.06040397,0.02883697,0.043879421,0.000323232,0.000484848,0.009212121,0.016484848,0.016484848,0.036866702,0.19960452
